t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
1.9,0,8.76943342254348e-16,0,0,0,9.23098255004579e-16,0,0,31.8825,31.8825,0,8.76991926373032e-16,0,0,0,9.2309825500458e-16,0,0,31.8825,31.8825,0,8.76991926373032e-16,0,0,0,9.2309825500458e-16,0,0,31.8825,31.8825
2,0,9.71682373689028e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825,0,9.71730957807712e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825,0,9.71730957807712e-16,0,0,0,9.71682373689031e-16,0,0,31.8825,31.8825
2.1,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825,0,1.07127981699215e-15,0,0,0,1.02026649237348e-15,0,0,31.8825,31.8825
2.2,0,1.17573567216372e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825,0,1.17578425628241e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825,0,1.17578425628241e-15,0,0,0,1.06885061105794e-15,0,0,31.8825,31.8825
2.3,0,1.28504993920374e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825,0,1.28509852332243e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825,0,1.28509852332243e-15,0,0,0,1.11743472974239e-15,0,0,31.8825,31.8825
2.4,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825,0,1.3992226181122e-15,0,0,0,1.16601884842684e-15,0,0,31.8825,31.8825
2.5,0,1.51825370888911e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825,0,1.51830229300779e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825,0,1.51830229300779e-15,0,0,0,1.21460296711129e-15,0,0,31.8825,31.8825
2.6,0,1.64214321153446e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825,0,1.64219179565314e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825,0,1.64219179565314e-15,0,0,0,1.26318708579574e-15,0,0,31.8825,31.8825
2.7,0,1.77089112604826e-15,0,0,0,1.31177120448019e-15,0,0,31.8825,31.8825,0,1.77089112604826e-15,0,0,0,1.3117712044802e-15,0,0,31.8825,31.8825,0,1.77089112604826e-15,0,0,0,1.3117712044802e-15,0,0,31.8825,31.8825
2.8,0,1.9044974524305e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825,0,1.90454603654918e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825,0,1.90454603654918e-15,0,0,0,1.36035532316465e-15,0,0,31.8825,31.8825
2.9,0,2.04296219068119e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.04301077479987e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825,0,2.04301077479987e-15,0,0,0,1.4089394418491e-15,0,0,31.8825,31.8825
