t,x_pid,z_pid,th_pid,b_pid,dx_pid,dz_pid,dth_pid,db_pid,T1_pid,T2_pid,x_havok,z_havok,th_havok,b_havok,dx_havok,dz_havok,dth_havok,db_havok,T1_havok,T2_havok,x_dmd,z_dmd,th_dmd,b_dmd,dx_dmd,dz_dmd,dth_dmd,db_dmd,T1_dmd,T2_dmd
24.3,0.980016048741366,-1.88633638614784e-07,-0.000459696906545557,0.00256917812270992,-0.0021390088098956,1.84706362447963e-05,-0.00134884617217765,0.0184042403283653,31.8794602000562,31.8856654905404,0.997673051306365,-0.00395784977887091,-3.33318483383386e-05,5.63082058846295e-05,0.000573494832547869,0.000291072895831513,6.82091004821283e-05,0.000433792360849456,31.8826090847101,31.8826192965459,1.00526987612904,0.0173745418727483,-3.41382184086258e-05,5.77292487157412e-05,0.000563378483607365,0.000820335530570174,7.01858687457644e-05,0.000260221236712969,31.8830751803186,31.8830680195143
24.4,0.979906775600666,1.7139271486249e-06,-0.000546225491101882,0.00414875449468204,8.80320948516023e-05,1.75754106612707e-05,-0.000362219147089685,0.0127962718938282,31.8791114465981,31.8861090302657,0.997734217731901,-0.00392892740421638,-2.64516623624497e-05,9.2315047477528e-05,0.000649271221833851,0.00028739513474385,6.90523137333023e-05,0.000282622388532952,31.882625744394,31.8826230108469,1.00532997448043,0.0174556704128063,-2.71921142567669e-05,7.66863280113701e-05,0.00063682218858972,0.000802520804464919,6.84615619349701e-05,0.000119029536853675,31.8830951040812,31.8830756521961
24.5,0.98005357218002,2.97860607953907e-06,-0.000530948201258555,0.00506752914941138,0.00290978509821645,6.45646253843698e-06,0.00066013217456628,0.00536990554211712,31.8792494887598,31.8859378367632,0.997803055186613,-0.00390038449517353,-1.95929645711414e-05,0.000111720643282773,0.000727233882499499,0.00028341364210505,6.77147252222451e-05,0.000102606441870616,31.8826432261593,31.8826244114372,1.00539715929717,0.0175350150674378,-2.05112118049791e-05,8.11821781305742e-05,0.000705584011567237,0.000784309152614562,6.48232264422815e-05,-2.85000403669139e-05,31.8831138801134,31.8830813022075
24.6,0.980493105948863,2.891311301886e-06,-0.00041833024116337,0.0052015673665085,0.00586243416627718,-8.02223191284788e-06,0.00155932611700938,-0.00268920926957217,31.8798484187369,31.8852018568852,0.997879419118131,-0.00387224963035785,-1.29871272039152e-05,0.000112874905546234,0.000800004873155452,0.000279153955089528,6.39038498565991e-05,-8.1855493296668e-05,31.8826603520422,31.88262469372,1.00547068836126,0.0176125392938448,-1.4285005488531e-05,7.15631739508135e-05,0.000763982265733686,0.000765749924063875,5.92868661382064e-05,-0.000162774842743569,31.8831305653718,31.8830859542024
24.7,0.981214597560996,1.54928975359433e-06,-0.000227766360901329,0.00455049901076123,0.00847341011933611,-1.73694344721944e-05,0.00219948609971739,-0.0101282642307726,31.880834265705,31.8840585498051,0.997962604901377,-0.00384456269984913,-6.89846347900795e-06,9.60964539774977e-05,0.000859818900118451,0.000274635040844652,5.76180462409075e-05,-0.000244916479018401,31.882675834257,31.8826251187037,1.0055494056748,0.0176881543888667,-8.71119218252528e-06,4.97468428421106e-05,0.000806588203783631,0.000746883389868508,5.21047340109328e-05,-0.000264956984690423,31.8831442013001,31.8830905253888
24.8,0.982162641426414,-2.3382614345139e-07,9.7822785518108e-06,0.00323444994273995,0.0103342389174311,-1.64763429704535e-05,0.0024880186429659,-0.0158213133982425,31.8820790810265,31.8827274309668,0.99805082169184,-0.00381733464961737,-1.53552694648749e-06,6.51460173139785e-05,0.000900943262143926,0.000269889405786779,4.93573059371345e-05,-0.000365352053001281,31.8826886280158,31.8826267946009,1.00563142741063,0.0177618887773917,-3.90648118396852e-06,1.99448545929551e-05,0.000830502315062228,0.000727765436894946,4.38637862128181e-05,-0.000322788421772739,31.883154239998,31.8830957277616
24.9,0.98324681305922,-1.43395628666221e-06,0.000256841278464799,0.00147255367534108,0.0111617247278517,-6.41033987933207e-06,0.00238872382434722,-0.018938980237682,31.8834022918208,31.8814351473743,0.998142024788694,-0.00379058666579503,2.94008283386811e-06,2.50108277914341e-05,0.000919510412520792,0.000264938419302898,3.98189621279087e-05,-0.00042804958661047,31.882697958854,31.8826305189194,1.00571483926247,0.0178337199010992,5.75794768295032e-08,-1.31085603561654e-05,0.000834476206664978,0.000708438975409014,3.5242085099487e-05,-0.000329674425617789,31.8831603667414,31.8831019590676
25,0.984356422627613,-1.41880793981038e-06,0.000475347825697887,-0.000453207914428369,0.0108383993282214,6.52232027389849e-06,0.00192593066077856,-0.0190684397107955,31.8845904090861,31.8803712928455,0.998233868185138,-0.0037643536195158,6.41469518451741e-06,-1.81324061748045e-05,0.000913528423565743,0.000259795689847995,2.98917377213316e-05,-0.000423900227641125,31.8827033202129,31.8826367864962,1.00579764225578,0.0179035706180884,3.15537655779448e-06,-4.41767563308856e-05,0.000818922331716606,0.000688940919790512,2.70055140639954e-05,-0.000284567561881637,31.8831625049164,31.8831093170783
25.1,0.985378017832007,-2.91455006731711e-07,0.000632517028934728,-0.00224290429190654,0.0094264472866043,1.47113702425087e-05,0.00117924257749591,-0.0162662444443405,31.8854366520592,31.879666200759,0.998323985731958,-0.00373863824320527,8.92767884936364e-06,-5.76761468564725e-05,0.000885333264050741,0.000254484782290424,2.05429264637631e-05,-0.000356979509058332,31.882704895635,31.8826454938697,1.00587808196165,0.0179714844183564,5.48636002951404e-06,-6.85490467987832e-05,0.000787543984092482,0.000669317075296788,1.98492919649077e-05,-0.000196560081795901,31.8831611657799,31.8831174873569
25.2,0.9862128738322,1.21113853481515e-06,0.000705750006965414,-0.00362517075994889,0.00715364579474492,1.37315698290702e-05,0.000269912816477964,-0.0110376950337744,31.885789598771,31.8793893592516,0.998410380696134,-0.00371345618224141,1.05789105787996e-05,-8.79122079662511e-05,0.000839067279966055,0.000249023539833764,1.26269346901165e-05,-0.000237873635421839,31.8827031789187,31.8826561923712,1.0059548244846,0.0180374508771528,7.1849457586092e-06,-8.26159234800409e-05,0.000745046826723346,0.000649606590995308,1.43202323787811e-05,-7.87409614183988e-05,31.8831570280176,31.8831259161873
